"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","SurveyDate","TotalCount","MeanDensity_sqm","StandardDeviation","StandardError","QuadratsSampled","TotalAreaSurveyed_sqm"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1989,8/16/1989 0:00:00,29.00,0.72,2.23,0.50,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1990,7/24/1990 0:00:00,15.00,0.37,0.64,0.14,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1991,7/23/1991 0:00:00,6.00,0.15,0.28,0.06,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1992,9/16/1992 0:00:00,17.00,0.42,0.89,0.19,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1993,7/14/1993 0:00:00,105.00,2.62,2.44,0.54,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1994,7/12/1994 0:00:00,18.00,0.44,0.74,0.16,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1995,8/21/1995 0:00:00,11.00,0.27,0.37,0.08,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1996,7/22/1996 0:00:00,52.00,2.16,3.43,0.99,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1997,7/7/1997 0:00:00,7.00,0.29,0.49,0.14,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1998,7/6/1998 0:00:00,108.00,4.50,6.52,1.88,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1999,6/28/1999 0:00:00,64.00,2.66,2.78,0.80,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2000,6/26/2000 0:00:00,37.00,1.54,2.23,0.64,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2001,7/16/2001 0:00:00,6.00,0.25,0.50,0.14,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2002,7/22/2002 0:00:00,35.00,1.45,2.22,0.64,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2003,9/9/2003 0:00:00,9.00,0.37,0.80,0.23,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2004,7/26/2004 0:00:00,1.00,0.04,0.14,0.04,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2005,8/9/2005 0:00:00,103.00,4.29,3.15,0.90,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2006,9/11/2006 0:00:00,70.00,2.91,2.95,0.85,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2007,7/9/2007 0:00:00,2.00,0.08,0.19,0.05,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2008,9/8/2008 0:00:00,6.00,0.25,0.39,0.11,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2009,8/17/2009 0:00:00,39.00,1.62,1.83,0.52,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2010,7/26/2010 0:00:00,9.00,0.37,0.52,0.15,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2011,9/15/2011 0:00:00,2.00,0.08,0.19,0.05,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2012,7/25/2012 0:00:00,18.00,0.75,0.69,0.19,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2013,10/20/2013 0:00:00,5.00,0.20,0.72,0.20,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2014,10/1/2014 0:00:00,1.00,0.04,0.14,0.04,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2015,9/15/2015 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2016,8/10/2016 0:00:00,27.00,1.12,1.35,0.38,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",2017,7/27/2017 0:00:00,9.00,0.37,0.60,0.17,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.99,"Macrocystis pyrifera","giant kelp stipes > 1m",2007,7/9/2007 0:00:00,241.00,10.04,9.57,2.76,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.99,"Macrocystis pyrifera","giant kelp stipes > 1m",2008,9/8/2008 0:00:00,114.00,4.75,5.88,1.69,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.99,"Macrocystis pyrifera","giant kelp stipes > 1m",2009,8/17/2009 0:00:00,123.00,5.12,5.54,1.60,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.99,"Macrocystis pyrifera","giant kelp stipes > 1m",2010,7/26/2010 0:00:00,159.00,6.62,7.12,2.05,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.99,"Macrocystis pyrifera","giant kelp stipes > 1m",2011,9/15/2011 0:00:00,117.00,4.87,6.39,1.84,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.99,"Macrocystis pyrifera","giant kelp stipes > 1m",2012,7/25/2012 0:00:00,38.00,1.58,3.85,1.11,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.99,"Macrocystis pyrifera","giant kelp stipes > 1m",2013,10/20/2013 0:00:00,94.00,3.91,6.69,1.93,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.99,"Macrocystis pyrifera","giant kelp stipes > 1m",2014,10/1/2014 0:00:00,103.00,4.29,6.77,1.95,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",1996,7/22/1996 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",1997,7/7/1997 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",1998,7/6/1998 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",1999,6/28/1999 0:00:00,1.00,0.04,0.14,0.04,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2000,6/26/2000 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2001,7/16/2001 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2002,7/22/2002 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2003,9/9/2003 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2004,7/26/2004 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2005,8/9/2005 0:00:00,2.00,0.08,0.19,0.05,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2006,9/11/2006 0:00:00,3.00,0.12,0.31,0.08,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2007,7/9/2007 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2008,9/8/2008 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2009,8/17/2009 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2010,7/26/2010 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2011,9/15/2011 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2012,7/25/2012 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2013,10/20/2013 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2014,10/1/2014 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2015,9/15/2015 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2016,8/10/2016 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.00,"Eisenia arborea","Southern sea palm, adult",2017,7/27/2017 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",1996,7/22/1996 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",1997,7/7/1997 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",1998,7/6/1998 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",1999,6/28/1999 0:00:00,1.00,0.04,0.14,0.04,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2000,6/26/2000 0:00:00,2.00,0.08,0.19,0.05,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2001,7/16/2001 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2002,7/22/2002 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2003,9/9/2003 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2004,7/26/2004 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2005,8/9/2005 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2006,9/11/2006 0:00:00,3.00,0.12,0.43,0.12,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2007,7/9/2007 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2008,9/8/2008 0:00:00,2.00,0.08,0.19,0.05,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2009,8/17/2009 0:00:00,1.00,0.04,0.14,0.04,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2010,7/26/2010 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2011,9/15/2011 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2012,7/25/2012 0:00:00,1.00,0.04,0.14,0.04,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2013,10/20/2013 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2014,10/1/2014 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2015,9/15/2015 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2016,8/10/2016 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004.50,"Eisenia arborea","Southern sea palm, juvenile",2017,7/27/2017 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",1996,7/22/1996 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",1997,7/7/1997 0:00:00,1.00,0.04,0.14,0.04,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",1998,7/6/1998 0:00:00,2.00,0.08,0.19,0.05,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",1999,6/28/1999 0:00:00,24.00,1.00,1.66,0.48,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2000,6/26/2000 0:00:00,31.00,1.29,3.56,1.02,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2001,7/16/2001 0:00:00,9.00,0.37,0.71,0.20,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2002,7/22/2002 0:00:00,5.00,0.20,0.33,0.09,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2003,9/9/2003 0:00:00,13.00,0.54,0.89,0.25,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2004,7/26/2004 0:00:00,4.00,0.16,0.32,0.09,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2005,8/9/2005 0:00:00,6.00,0.25,0.45,0.13,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2006,9/11/2006 0:00:00,16.00,0.66,0.71,0.20,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2007,7/9/2007 0:00:00,10.00,0.41,0.63,0.18,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2008,9/8/2008 0:00:00,11.00,0.45,0.65,0.18,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2009,8/17/2009 0:00:00,27.00,1.12,1.04,0.30,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2010,7/26/2010 0:00:00,26.00,1.08,1.06,0.30,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2011,9/15/2011 0:00:00,21.00,0.87,0.71,0.20,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2012,7/25/2012 0:00:00,17.00,0.70,0.78,0.22,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2013,10/20/2013 0:00:00,18.00,0.75,0.81,0.23,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2014,10/1/2014 0:00:00,6.00,0.25,0.58,0.16,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2015,9/15/2015 0:00:00,0.00,0.00,0.00,0.00,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2005.00,"Pterygophora californica","California sea palm, adult",2016,8/10/2016 0:00:00,1.00,0.04,0.14,0.04,12,24.00
