"Species","ScientificName","CommonName","AlternateTaxonName","SpeciesName","Life_Stage","Sex"
,"Gymnothorax mordax","California moray eel","Gymnothorax mordax","California moray eel",,
,"Halichoeres semicinctus","rock wrasse, all","Halichoeres semicinctus, all","rock wrasse, all","All",
,"Halichoeres semicinctus","rock wrasse, juvenile","Halichoeres semicinctus, juvenile","rock wrasse, juvenile","Juvenile",
,"Hermosilla azurea","zebra perch","Hermosilla azurea","zebra perch",,
,"Heterodontus francisci","horn shark","Heterodontus francisci","horn shark",,
,"Heterostichus rostratus","giant kelpfish, adult","Heterostichus rostratus, adult","giant kelpfish, adult","Adult",
,"Heterostichus rostratus","giant kelpfish, all","Heterostichus rostratus, all","giant kelpfish, all","All",
,"Heterostichus rostratus","giant kelpfish, juvenile","Heterostichus rostratus, juvenile","giant kelpfish, juvenile","Juvenile",
,"Hexagrammos decagrammus","kelp greenling","Hexagrammos decagrammus","kelp greenling",,
,"Hexagrammos decagrammus","kelp greenling, adult","Hexagrammos decagrammus, adult","kelp greenling, adult","Adult",""
,"Hexagrammos decagrammus","kelp greenling, female","Hexagrammos decagrammus, female","kelp greenling, female","Adult","Female"
,"Hexagrammos decagrammus","kelp greenling, juvenile","Hexagrammos decagrammus","kelp greenling, juvenile","Juvenile",""
,"Hexagrammos decagrammus","kelp greenling, male","Hexagrammos decagrammus, male","kelp greenling, male","Adult","Male"
,"Hexagrammos lagocephalus","rock greenling","Hexagrammos lagocephalus","rock greenling",,
,"Hyperprosopon anale","spotfin surfperch","Hyperprosopon anale","spotfin surfperch",,
,"Hyperprosopon argenteum","walleye surfperch","Hyperprosopon argenteum","walleye surfperch",,
,"Hypsurus caryi","rainbow surfperch","Hypsurus caryi","rainbow surfperch",,
,"Hypsypops rubicundus","garibaldi, all","Hypsypops rubicundus, all","garibaldi, all","All",
,"Icelinus tenuis","spotfin sculpin","Icelinus tenuis","spotfin sculpin",,
,"larval fish spp.","larval fish spp.","larval fish spp.","larval fish spp.",,
,"Leiocottus hirundo","lavender sculpin","Leiocottus hirundo","lavender sculpin",,
,"Lythrypnus zebra","zebra goby","Lythrypnus zebra","zebra goby",,
,"Medialuna californiensis","halfmoon, adult","Medialuna californiensis, adult","halfmoon, adult",,
,"Medialuna californiensis","halfmoon, all","Medialuna californiensis, all","halfmoon, all","All",
,"Medialuna californiensis","halfmoon, juvenile","Medialuna californiensis, juvenile","halfmoon, juvenile","Juvenile",
,"Mola mola","ocean sunfish","Mola mola","ocean sunfish",,
,"Myliobatis californica","bat ray","Myliobatis californica","bat ray",,
,"Nautichthys oculofasciatus","sailfin sculpin","Nautichthys oculofasciatus","sailfin sculpin",,
,"Neoclinus","fringehead spp.","Neoclinus","fringehead spp.",,
,"Neoclinus blanchardi","sarcastic fringehead","Neoclinus blanchardi","sarcastic fringehead",,
,"Neoclinus stephensae","yellowfin fringehead","Neoclinus stephensae","yellowfin fringehead",,
,"Neoclinus uninotatus","onespot fringehead","Neoclinus uninotatus","onespot fringehead",,
,"Ophidiidae","cusk eel spp.","Ophidiidae","cusk eel spp.","",""
,"Ophiodon elongatus","lingcod","Ophiodon elongatus","lingcod",,
,"Ophiodon elongatus","lingcod, adult","Ophiodon elongatus, adult","lingcod, adult","Adult",
,"Ophiodon elongatus","lingcod, all","Ophiodon elongatus, all","lingcod, all","All",
,"Orthonopias triacis","snubnose sculpin","Orthonopias triacis","snubnose sculpin",,
,"Oxyjulis californica","señorita, all","Oxyjulis californica, all","señorita, all","All",
,"Paralabrax clathratus","kelp bass, all","Paralabrax clathratus, all","kelp bass, all","All",
,"Paralabrax nebulifer","barred sand bass","Paralabrax nebulifer","barred sand bass",,
,"Paralichthys californicus","California halibut","Paralichthys californicus","California halibut",,
,"Phanerodon atripes","sharpnose surfperch","Phanerodon atripes","sharpnose surfperch",,
,"Phanerodon furcatus","white surfperch","Phanerodon furcatus","white surfperch",,
,"Phanerodon spp.","sharpnose/white surfperch","Phanerodon spp.","sharpnose/white surfperch","",""
,"Pholidae","gunnel spp.","Pholidae","gunnel spp.","",""
,"Platyrhinoidis triseriata","thornback ray","Platyrhinoidis triseriata","thornback ray",,
,"Pleuronichthys coenosus","c-o turbot","Pleuronichthys coenosus","c-o turbot",,
,"Porichthys","midshipman spp.","Porichthys spp.","midshipman spp.",,
,"Porichthys notatus","plainfin midshipman","Porichthys notatus","plainfin midshipman",,
,"Prionace glauca","blue shark","Prionace glauca","blue shark",,
,"Rathbunella hypoplecta","stripedfin ronquil","Rathbunella hypoplecta","stripedfin ronquil",,
,"Regalecus","oarfish spp., all","Regalecus spp., all","oarfish spp., all","All",""
,"Rhacochilus toxotes","rubberlip surfperch","Rhacochilus toxotes","rubberlip surfperch",,
,"Rhacochilus vacca","pile perch, all","Rhacochilus vacca, all","pile perch, all","All",
,"Ronquilus jordani","northern ronquil","Ronquilus jordani","northern ronquil",,
,"Sarda chiliensis","Pacific bonito","Sarda chiliensis","Pacific bonito",,
,"Sardinops sagax","Pacific sardine","Sardinops sagax","Pacific sardine",,
,"Scomber japonicus","Pacific mackerel","Scomber japonicus","Pacific mackerel",,
,"Scorpaena guttata","California scorpionfish, adult","Scorpaena guttata, adult","California scorpionfish, adult","Adult",
,"Scorpaena guttata","California scorpionfish, all","Scorpaena guttata, all","California scorpionfish, all","All",
,"Scorpaena guttata","California scorpionfish, juvenile","Scorpaena guttata, juvenile","California scorpionfish, juvenile","Juvenile",
,"Scorpaenichthys marmoratus","cabezon, adult","Scorpaenichthys marmoratus, adult","cabezon, adult","Adult",
,"Scorpaenichthys marmoratus","cabezon, all","Scorpaenichthys marmoratus, all","cabezon, all","All",
,"Scorpaenichthys marmoratus","cabezon, juvenile","Scorpaenichthys marmoratus, juvenile","cabezon, juvenile","Juvenile",
,"Sebastes","rockfish spp.","Sebastes spp.","rockfish spp.",,
,"Sebastes","rockfish spp., adult","Sebastes soo., adult","rockfish spp., adult","Adult",
,"Sebastes","rockfish spp., juvenile","Sebastes spp., juvenile","rockfish spp., juvenile","Juvenile",
,"Sebastes atrovirens","kelp rockfish, all","Sebastes atrovirens, all","kelp rockfish, all","All",
,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile","Sebastes atrovirens/carnatus/caurinus/chrysomelas, juvenile","KGB","Juvenile",
,"Sebastes auriculatus ","brown rockfish, adult","Sebastes auriculatus, adult","brown rockfish, adult","Adult",
,"Sebastes auriculatus","brown rockfish, all","Sebastes auriculatus, all","brown rockfish, all","All",
,"Sebastes auriculatus ","brown rockfish, juvenile","Sebastes auriculatus, juvenile","brown rockfish, juvenile","Juvenile",
,"Sebastes carnatus","gopher rockfish, adult","Sebastes carnatus, adult","gopher rockfish, adult","Adult",
,"Sebastes carnatus","gopher rockfish, all","Sebastes carnatus, all","gopher rockfish, all","All",
,"Sebastes carnatus","gopher rockfish, juvenile","Sebastes carnatus, juvenile","gopher rockfish, juvenile","Juvenile",
,"Sebastes caurinus","copper rockfish, adult","Sebastes caurinus, adult","copper rockfish, adult","Adult",
,"Sebastes caurinus","copper rockfish, all","Sebastes caurinus, all","copper rockfish, all","All",
,"Sebastes caurinus","copper rockfish, juvenile","Sebastes caurinus, juvenile","copper rockfish, juvenile","Juvenile",
,"Sebastes chrysomelas","black and yellow rockfish, adult","Sebastes chrysomelas, adult","black and yellow rockfish, adult","Adult",
,"Sebastes chrysomelas","black and yellow rockfish, all","Sebastes chrysomelas, all","black and yellow rockfish, all","All",
,"Sebastes chrysomelas/carnatus","black and yellow/gopher rockfish, juvenile","Sebastes chrysomelas/carnatus, juvenile","black and yellow/gopher rockfish, juvenile","Juvenile",
,"Sebastes dallii","calico rockfish, juvenile","Sebastes dallii, juvenile","calico rockfish, juvenile","Juvenile",
,"Sebastes diploproa","splitnose rockfish, juvenile","Sebastes diploproa, juvenile","splitnose rockfish, juvenile","Juvenile",
,"Sebastes entomelas","widow rockfish, juvenile","Sebastes entomelas, juvenile","widow rockfish, juvenile",,""
,"Sebastes flavidus","yellowtail rockfish","Sebastes flavidus","yellowtail rockfish",,
,"Sebastes hopkinsi","squarespot rockfish, juvenile","Sebastes hopkinsi, juvenile","squarespot rockfish, juvenile","Juvenile",""
,"Sebastes melanops","black rockfish, adult","Sebastes melanops, adult","black rockfish, adult","Adult",
,"Sebastes melanops","black rockfish, all","Sebastes melanops, all","black rockfish, all","All",
,"Sebastes miniatus","vermillion rockfish, adult","Sebastes miniatus, adult","vermillion rockfish, adult","Adult",
,"Sebastes miniatus","vermillion rockfish, all","Sebastes miniatus, all","vermillion rockfish, all","All",
,"Sebastes miniatus","vermillion rockfish, juvenile","Sebastes miniatus, juvenile","vermillion rockfish, juvenile","Juvenile",
,"Sebastes mystinus","blue rockfish, all","Sebastes mystinus, all","blue rockfish, all","All",
,"Sebastes paucispinis","bocaccio, adult","Sebastes paucispinis, adult","bocaccio, adult","Adult",
,"Sebastes paucispinis","bocaccio, all","Sebastes paucispinis, all","bocaccio, all","All",
,"Sebastes paucispinis","bocaccio, juvenile","Sebastes paucispinis, juvenile","bocaccio, juvenile","Juvenile",
,"Sebastes pinniger","canary rockfish, all","Sebastes pinniger, all","canary rockfish, all","All",
,"Sebastes pinniger","canary rockfish, juvenile","Sebastes pinniger, juvenile","canary rockfish, juvenile","Juvenile",
,"Sebastes rastrelliger","grass rockfish, adult","Sebastes rastrelliger, adult","grass rockfish, adult","Adult",
,"Sebastes rastrelliger","grass rockfish, all","Sebastes rastrelliger, all","grass rockfish, all","All",
,"Sebastes rastrelliger","grass rockfish, all","Sebastes rastrelliger, all","grass rockfish, all","All",""
,"Sebastes rosaceus","rosy rockfish, juvenile","Sebastes rosaceus, juvenile","rosy rockfish, juvenile","Juvenile",""
,"Sebastes saxicola","stripetail rockfish, adult","Sebastes saxicola, adult","stripetail rockfish, adult","Adult",
,"Sebastes saxicola","stripetail rockfish, all","Sebastes saxicola, all","stripetail rockfish, all","All",
,"Sebastes saxicola","stripetail rockfish, juvenile","Sebastes saxicola, juvenile","stripetail rockfish, juvenile","Juvenile",
,"Sebastes semicinctus","halfbanded rockfish, adult","Sebastes semicinctus, adult","halfbanded rockfish, adult","Adult",
,"Sebastes semicinctus","halfbanded rockfish, all","Sebastes semicinctus, all","halfbanded rockfish, all","All",""
,"Sebastes semicinctus","halfbanded rockfish, juvenile","Sebastes semicinctus, juvenile","halfbanded rockfish, juvenile","Juvenile",
,"Sebastes serranoides","olive rockfish, all","Sebastes serranoides, all","olive rockfish, all","All",
,"Sebastes serranoides/flavidus","olive/yellowtail rockfish, juvenile","Sebastes serranoides/flavidus, juvenile","olive/yellowtail rockfish, juvenile","Juvenile",
,"Sebastes serriceps","treefish, adult","Sebastes serriceps, adult","treefish, adult","Adult",
,"Sebastes serriceps","treefish, all","Sebastes serriceps, all","treefish, all","All",
,"Sebastes serriceps","treefish, juvenile","Sebastes serriceps, juvenile","treefish, juvenile","Juvenile",
,"Semicossyphus pulcher","California sheephead, all","Semicossyphus pulcher, all","California sheephead, all","All",
,"Seriola lalandi","yellowtail","Seriola lalandi","yellowtail",,
,"Sphyraena argentea","Pacific barracuda","Sphyraena argentea","Pacific barracuda",,
,"Squatina californica","Pacific angel shark","Squatina californica","Pacific angel shark",,
,"Stereolepis gigas","giant black sea bass, adult","Stereolepis gigas, adult","giant black sea bass, adult","Adult",
,"Stereolepis gigas","giant black sea bass, all","Stereolepis gigas, all","giant black sea bass, all","All",
,"Stichaeidae","prickleback spp.","Stichaeidae","prickleback spp.","",""
,"Syngnathus spp.","pipefish spp.","Syngnathus spp.","pipefish spp.","",""
,"Trachurus symmetricus","jack mackerel","Trachurus symmetricus","jack mackerel",,
,"Triakis semifasciata","leopard shark","Triakis semifasciata","leopard shark",,
,"Xystreurys liolepis","fantail sole","Xystreurys liolepis","fantail sole",,
1001.00,"Chlorophyta","green algae","Chlorophyta","Green Algae",,
2001.00,"Phaeophyta","brown algae (miscellaneous)","Phaeophyta","Other Brown Algae",,
2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)","Macrocystis pyrifera, adult","Macrocystis pyrifera adult (>1m tall)","Adult",
2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)","Macrocystis pyrifera, adult","Macrocystis adult (haptera above the primary dicotomy)","Adult",
2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)","Macrocystis pyrifera, juvenile","Macrocystis pyrifera juvenile (<1m tall)","Juvenile",
2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)","Macrocystis pyrifera, subadult","Macrocystis subadult (over 1m tall)","Subadult",
2002.99,"Macrocystis pyrifera","giant kelp stipes > 1m","Macrocystis pyrifera stipes >1m","Macrocystis pyrifera STIPES (>1m tall)",,
2003.00,"Desmarestia","acid weed","Desmarestia spp.","Desmarestia spp.",,
2004.00,"Eisenia arborea","Southern sea palm, adult","Eisenia arborea, adult","Eisenia arborea adult","Adult",
2004.50,"Eisenia arborea","Southern sea palm, juvenile","Eisenia arborea, juvenile","Eisenia arborea juvenile","Juvenile",
2005.00,"Pterygophora californica","California sea palm, adult","Pterygophora californica, adult","Pterygophora adult","Adult",
2005.50,"Pterygophora californica","California sea palm, juvenile","Pterygophora californica, juvenile","Pterygophora juvenile","Juvenile",
2006.00,"Laminaria farlowii","oar weed, adult (>10cm wide)","Laminaria farlowii, adult","Laminaria farlowii adult","Adult",
2006.50,"Laminaria farlowii","oar weed, juvenile (<10cm wide)","Laminaria farlowii, juvenile","Laminaria farlowii juvenile","Juvenile",
2007.00,"Cystoseira","bladder chain kelp","Cystoseira spp.","Cystoseira spp.",,
2008.00,"Macrocystis, Pterygophora, and Eisenia combined","giant kelp, California sea palm, Southern sea palm","Macrocystis/Pterygophora/Eisenia","Macrocystis/Pterygophora/Eisenia",,
2009.00,"Undaria pinnatifida","wakame, adult","Undaria pinnatifida, adult","Undaria pinnatifida adult","Adult",""
2009.50,"Undaria pinnatifida","wakame, juvenile","Undaria pinnatifida, juvenile","Undaria pinnatifida juvenile","Juvenile",""
2010.00,"Macrocystis pyrifera","giant kelp, all","Macrocystis pyrifera, all","Macrocystis pyrifera","All",
2011.00,"Sargassum muticum","Japanese seaweed","Sargassum muticum","Sargassum muticum",,
2012.00,"Eisenia arborea","Southern sea palm, all","Eisenia arborea, all","Eisenia arborea","All",
2013.00,"Pterygophora californica","California sea palm, all","Pterygophora californica, all","Pterygophora","All",
2014.00,"Laminaria farlowii","oar weed, all","Laminaria farlowii, all","Laminaria farlowii","All",
2015.00,"Dictyoneuropsis reticulata/Agarum fimbriatum","Dictyoneuropsis reticulata/Agarum fimbriatum, adult (>10cm wide)","Dictyoneuropsis reticulata/Agarum fimbriatum, adult","Dictyoneuropsis reticulata/Agarum fimbriatum adult","Adult",
2015.50,"Dictyoneuropsis reticulata/Agarum fimbriatum","Dictyoneuropsis reticulata/Agarum fimbriatum, juvenile (<10cm wide)","Dictyoneuropsis reticulata/Agarum fimbriatum, juvenile","Dictyoneuropsis reticulata/Agarum fimbriatum juvenile","Juvenile",
2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)","Sargassum horneri, adult","Sargassum horneri adult (>0.5m tall)","Adult",
2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)","Sargassum horneri, juvenile","Sargassum horneri juvenile (<0.5m tall)","Juvenile",
2017.00,"Sargassum horneri","Sargassum horneri, all","Sargassum horneri, all","Sargassum horneri","All",
3001.00,"Rhodophyta","red algae (miscellaneous)","Rhodophyta","Other Reds",,
3002.00,"Corallinales","articulated coralline algae","Corallinales","Articulated Coralline",,
3003.00,"Corallinales","encrusting coralline algae","Corallinales","Encrusting Coralline",,
3004.00,"Gelidium","agar weed","Gelidium spp.","Gelidium spp.",,
3005.00,"Gigartina","sea tongue","Gigartina spp.","Gigartina spp.",,
4001.00,"Plantae","miscellaneous plants (ie: diatoms)","Plantae","Misc. Plant (i.e. diatom film)",,
5001.00,"Porifera","sponges","Porifera","Sponges",,
5002.00,"Tethya aurantia","orange puffball sponge","Tethya aurantia","Tethya aurantia",,
5003.00,"Leucetta losangelensis","macaroni sponge","Leucetta losangelensis","Leucetta losangelensis",,
5004.00,"Polymastia pachymastia","aggregated nipple sponge","Polymastia pachymastia","Polymastia pachymastia",,
6001.00,"Stylaster californicus","California hydrocoral","Stylaster californicus","Stylaster californicus",,
6002.00,"Urticina lofotensis","white-spotted rose anemone","Urticina lofotensis","Urticina lofotensis",,
6003.00,"Corynactis californicus","club-tipped anemone","Corynactis californicus","Corynactis californica",,
6004.00,"Balanophyllia elegans","orange cup coral","Balanophyllia elegans","Balanophyllia elegans",,
6005.00,"Astrangia lajollaensis","La Jolla cup coral","Astrangia lajollaensis","Astrangia lajollaensis",,
6006.00,"Lophogorgia chilensis","red gorgonian","Lophogorgia chilensis","Lophogorgia chilensis",,
6007.00,"Muricea fruticosa","brown gorgonian","Muricea fruticosa","Muricea fruticosa",,
6008.00,"Muricea californica","California golden gorgonian","Muricea californica","Muricea californica",,
6009.00,"Hydrozoa","hydroids","Hydrozoa","Hydrozoa",,
7001.00,"Diopatra ornata","ornate tube worm","Diopatra ornata","Diopatra ornata",,
7002.00,"Phragmatopoma californica","colonial sand-tube worm","Phragmatopoma californica","Phragmatopoma",,
7003.00,"Spirobranchus spinosus","christmas tree worm","Spirobranchus spinosus","Spirobranchus spinosus",,
8001.00,"Panulirus interruptus","California spiny lobster","Panulirus interruptus","Panulirus interruptus",,
8002.00,"Balanus","barnacles","Balanus","Balanus",,
9001.00,"Serpulorbis squamigerus","scaled wormsnail","Serpulorbis squamiger","Serpulorbis",,
9002.00,"Haliotis rufescens","red abalone","Haliotis rufescens","Haliotis rufescens",,
9002.99,"Haliotis rufescens","red abalone,  aquacultured","Haliotis rufescens, aquacultured","Haliotis rufescens, aquacultured","",""
9003.00,"Haliotis corrugata","pink abalone","Haliotis corrugata","Haliotis corrugata",,
9004.00,"Haliotis fulgens","green abalone","Haliotis fulgens","Haliotis fulgens",,
9005.00,"Cypraea spadicea","chestnut cowrie","Cypraea spadicea","Cypraea spadicea",,
9006.00,"Kelletia kelletii","Kellet's whelk","Kelletia kelletii","Kelletia kelletii",,
9007.00,"Megastraea undosa","wavy turban snail","Megastraea undosa","Megastraea undosa",,
9008.00,"Lithopoma gibberosa","red turban snail","Lithopoma gibberosa","Lithopoma gibberosa",,
9009.00,"Megathura crenulata","giant keyhole limpet","Megathura crenulata","Megathura crenulata",,
9010.00,"Crassedoma giganteum","rock scallop","Crassedoma giganteum","Crassedoma giganteum",,
9011.00,"Aplysia californica","California brown sea hare","Aplysia californica","Aplysia californica",,
9012.00,"Haliotis assimilis","threaded abalone","Haliotis assimilis","Haliotis assimilis",,
9013.00,"Haliotis sorenseni","white abalone","Haliotis sorenseni","Haliotis sorenseni",,
9014.00,"Tegula regina","queen tegula","Tegula regina","Tegula regina",,
9015.00,"Cryptochiton stelleri","gumboot chiton","Cryptochiton stelleri","Cryptochiton stelleri",,
9016.00,"Haliotis cracherodii","black abalone","Haliotis cracherodii","Haliotis cracherodii","",""
9017.00,"Haliotis walallenis","flat abalone","Haliotis walallenis","Haliotis walallenis","",""
10001.00,"Bryozoa","bryozoans (miscellaneous)","Bryozoa","Bryozoans, other",,
10002.00,"Diaperoecia californica","Southern staghorn bryozoan","Diaperoecia californica","Diaperoecia californica",,
11001.00,"Patiria miniata","bat star","Patiria miniata","Patiria miniata",,
11002.00,"Pisaster giganteus","giant-spined sea star","Pisaster giganteus","Pisaster giganteus",,
11003.00,"Pycnopodia helianthoides","sunflower star","Pycnopodia helianthoides","Pycnopodia helianthoides",,
11004.00,"Lytechinus anamesus","white sea urchin","Lytechinus anamesus","Lytechinus anamesus",,
11005.00,"Strongylocentrotus franciscanus","red sea urchin","Strongylocentrotus franciscanus","Strongylocentrotus franciscanus",,
11006.00,"Strongylocentrotus purpuratus","purple sea urchin","Strongylocentrotus purpuratus","Strongylocentrotus purpuratus",,
11007.00,"Parastichopus parvimensis","warty sea cucumber","Parastichopus parvimensis","Parastichopus parvimensis",,
11008.00,"Pachythyone rubra","aggregated red sea cucumber","Pachythyone rubra","Pachythyone rubra",,
11009.00,"Centrostephanus coronatus","Coronado urchin","Centrostephanus coronatus","Centrostephanus coronatus",,
11010.00,"Ophiothrix spiculata","spiny brittle star","Ophiothrix spiculata","Ophiothrix spiculata",,
11011.00,"Pisaster ochraceus","ochre sea star","Pisaster ochraceus","Pisaster ochraceus",,
12001.00,"Tunicata","tunicates","Tunicata","Tunicates",,
12002.00,"Styela montereyensis","stalked tunicate","Styela montereyensis","Styela montereyensis",,
13001.00,"Miscellaneous Invertebrates including Ophiothrix spiculata","Miscellaneous Invertebrates including Ophiothrix spiculata","Miscellaneous Invertebrates including Ophiothrix spiculata","Miscellaneous Invertebrates including Ophiothrix spiculata",,
13002.00,"Miscellaneous Invertebrates excluding Ophiothrix spiculata","Miscellaneous Invertebrates excluding Ophiothrix spiculata","Miscellaneous Invertebrates excluding Ophiothrix spiculata","Miscellaneous Invertebrates w/o Ophiothrix spiculata",,
14001.00,"Chromis punctipinnis","blacksmith, adult","Chromis punctipinnis, adult","blacksmith, adult","Adult",
14002.00,"Chromis punctipinnis","blacksmith, juvenile","Chromis punctipinnis, juvenile","blacksmith, juvenile","Juvenile",
14003.00,"Oxyjulis californica","señorita, adult","Oxyjulis californica, adult","señorita, adult","Adult",
14004.00,"Oxyjulis californica","señorita, juvenile","Oxyjulis californica, juvenile","señorita, juvenile","Juvenile",
14005.00,"Sebastes mystinus","blue rockfish, adult","Sebastes mystinus, adult","blue rockfish, adult","Adult",
14006.00,"Sebastes mystinus","blue rockfish, juvenile","Sebastes mystinus, juvenile","blue rockfish, juvenile","Juvenile",
14007.00,"Sebastes serranoides","olive rockfish, adult","Sebastes serranoides, adult","olive rockfish, adult","Adult",
14008.00,"Sebastes serranoides","olive rockfish, juvenile","Sebastes serranoides, juvenile","olive rockfish, juvenile","Juvenile",
14009.00,"Sebastes atrovirens","kelp rockfish, adult","Sebastes atrovirens, adult","kelp rockfish, adult","Adult",
14010.00,"Sebastes atrovirens","kelp rockfish, juvenile","Sebastes atrovirens, juvenile","kelp rockfish, juvenile","Juvenile",
14011.00,"Paralabrax clathratus","kelp bass, adult","Paralabrax clathratus, adult","kelp bass, adult","Adult",
14012.00,"Paralabrax clathratus","kelp bass, juvenile","Paralabrax clathratus, juvenile","kelp bass, juvenile","Juvenile",
14013.00,"Semicossyphus pulcher","California sheephead, male","Semicossyphus pulcher, male","California sheephead, male","Adult","Male"
14014.00,"Semicossyphus pulcher","California sheephead, female","Semicossyphus pulcher, female","California sheephead, female","Adult","Female"
14014.50,"Semicossyphus pulcher","California sheephead, juvenile","Semicossyphus pulcher, juvenile","California sheephead, juvenile","Juvenile",
14015.00,"Embiotoca jacksoni","black surfperch, adult","Embiotoca jacksoni, adult","black surfperch, adult","Adult",
14016.00,"Embiotoca jacksoni","black surfperch, juvenile","Embiotoca jacksoni, juvenile","black surfperch, juvenile","Juvenile",
14017.00,"Embiotoca lateralis","striped surfperch, adult","Embiotoca lateralis, adult","striped surfperch, adult","Adult",
14018.00,"Embiotoca lateralis","striped surfperch, juvenile","Embiotoca lateralis, juvenile","striped surfperch, juvenile","Juvenile",
14019.00,"Rhacochilus vacca","pile perch, adult","Rhacochilus vacca, adult","pile perch, adult","Adult",
14020.00,"Rhacochilus vacca","pile perch, juvenile","Rhacochilus vacca, juvenile","pile perch, juvenile","Juvenile",
14021.00,"Hypsypops rubicundus","garibaldi, adult","Hypsypops rubicundus, adult","garibaldi, adult","Adult",
