SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,SurveyDate,TotalCount,MeanDensity_sqm,StandardDeviation,StandardError,QuadratsSampled,TotalAreaSurveyed_sqm,AlternateTaxonName,SpeciesName,Life_Stage,Sex
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2003,2003-09-09,15,0.62,0.6,0.17,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2004,2004-07-26,3,0.12,0.31,0.08,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2005,2005-08-09,8,0.33,0.24,0.07,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2006,2006-09-11,28,1.16,1.24,0.36,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2007,2007-07-09,17,0.7,0.65,0.18,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2008,2008-09-08,13,0.54,0.78,0.22,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2009,2009-08-17,15,0.62,0.56,0.16,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2010,2010-07-26,22,0.91,0.7,0.2,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2011,2011-09-15,8,0.33,0.57,0.16,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2012,2012-07-25,6,0.25,0.33,0.09,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2013,2013-10-20,9,0.37,0.6,0.17,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2014,2014-10-01,6,0.25,0.39,0.11,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2015,2015-09-15,4,0.16,0.44,0.12,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2016,2016-08-10,4,0.16,0.24,0.07,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2017,2017-07-27,16,0.66,0.8,0.23,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1983,1983-07-26,43,1.07,3.77,0.59,40,40,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1984,1984-07-11,39,0.97,1.51,0.23,40,40,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1985,1985-06-26,1,0.02,0.11,0.02,20,40,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1986,1986-07-08,96,2.4,2.62,0.58,20,40,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1987,1987-08-11,0,0,0,0,20,40,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1988,1988-07-27,9,0.22,0.37,0.08,20,40,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1989,1989-08-16,29,0.72,2.23,0.5,20,40,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1990,1990-07-24,15,0.37,0.64,0.14,20,40,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1991,1991-07-23,6,0.15,0.28,0.06,20,40,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1992,1992-09-16,17,0.42,0.89,0.19,20,40,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1993,1993-07-14,105,2.62,2.44,0.54,20,40,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1994,1994-07-12,18,0.44,0.74,0.16,20,40,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1995,1995-08-21,11,0.27,0.37,0.08,20,40,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1996,1996-07-22,52,2.16,3.43,0.99,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1997,1997-07-07,7,0.29,0.49,0.14,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1998,1998-07-06,108,4.5,6.52,1.88,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",1999,1999-06-28,64,2.66,2.78,0.8,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2000,2000-06-26,37,1.54,2.23,0.64,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2001,2001-07-16,6,0.25,0.5,0.14,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2002,2002-07-22,35,1.45,2.22,0.64,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2003,2003-09-09,9,0.37,0.8,0.23,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2004,2004-07-26,1,0.04,0.14,0.04,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2005,2005-08-09,103,4.29,3.15,0.9,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2006,2006-09-11,70,2.91,2.95,0.85,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2007,2007-07-09,2,0.08,0.19,0.05,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2008,2008-09-08,6,0.25,0.39,0.11,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2009,2009-08-17,39,1.62,1.83,0.52,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2010,2010-07-26,9,0.37,0.52,0.15,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2011,2011-09-15,2,0.08,0.19,0.05,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2012,2012-07-25,18,0.75,0.69,0.19,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2013,2013-10-20,5,0.2,0.72,0.2,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2014,2014-10-01,1,0.04,0.14,0.04,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2015,2015-09-15,0,0,0,0,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2016,2016-08-10,27,1.12,1.35,0.38,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,"giant kelp, juvenile (<1m)",2017,2017-07-27,9,0.37,0.6,0.17,12,24,"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.99,Macrocystis pyrifera,giant kelp stipes > 1m,2007,2007-07-09,241,10.04,9.57,2.76,12,24,Macrocystis pyrifera stipes >1m,Macrocystis pyrifera STIPES (>1m tall),NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.99,Macrocystis pyrifera,giant kelp stipes > 1m,2008,2008-09-08,114,4.75,5.88,1.69,12,24,Macrocystis pyrifera stipes >1m,Macrocystis pyrifera STIPES (>1m tall),NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.99,Macrocystis pyrifera,giant kelp stipes > 1m,2009,2009-08-17,123,5.12,5.54,1.6,12,24,Macrocystis pyrifera stipes >1m,Macrocystis pyrifera STIPES (>1m tall),NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.99,Macrocystis pyrifera,giant kelp stipes > 1m,2010,2010-07-26,159,6.62,7.12,2.05,12,24,Macrocystis pyrifera stipes >1m,Macrocystis pyrifera STIPES (>1m tall),NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.99,Macrocystis pyrifera,giant kelp stipes > 1m,2011,2011-09-15,117,4.87,6.39,1.84,12,24,Macrocystis pyrifera stipes >1m,Macrocystis pyrifera STIPES (>1m tall),NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.99,Macrocystis pyrifera,giant kelp stipes > 1m,2012,2012-07-25,38,1.58,3.85,1.11,12,24,Macrocystis pyrifera stipes >1m,Macrocystis pyrifera STIPES (>1m tall),NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.99,Macrocystis pyrifera,giant kelp stipes > 1m,2013,2013-10-20,94,3.91,6.69,1.93,12,24,Macrocystis pyrifera stipes >1m,Macrocystis pyrifera STIPES (>1m tall),NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.99,Macrocystis pyrifera,giant kelp stipes > 1m,2014,2014-10-01,103,4.29,6.77,1.95,12,24,Macrocystis pyrifera stipes >1m,Macrocystis pyrifera STIPES (>1m tall),NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",1996,1996-07-22,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",1997,1997-07-07,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",1998,1998-07-06,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",1999,1999-06-28,1,0.04,0.14,0.04,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2000,2000-06-26,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2001,2001-07-16,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2002,2002-07-22,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2003,2003-09-09,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2004,2004-07-26,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2005,2005-08-09,2,0.08,0.19,0.05,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2006,2006-09-11,3,0.12,0.31,0.08,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2007,2007-07-09,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2008,2008-09-08,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2009,2009-08-17,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2010,2010-07-26,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2011,2011-09-15,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2012,2012-07-25,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2013,2013-10-20,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2014,2014-10-01,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2015,2015-09-15,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2016,2016-08-10,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,Eisenia arborea,"Southern sea palm, adult",2017,2017-07-27,0,0,0,0,12,24,"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004.5,Eisenia arborea,"Southern sea palm, juvenile",1996,1996-07-22,0,0,0,0,12,24,"Eisenia arborea, juvenile",Eisenia arborea juvenile,Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004.5,Eisenia arborea,"Southern sea palm, juvenile",1997,1997-07-07,0,0,0,0,12,24,"Eisenia arborea, juvenile",Eisenia arborea juvenile,Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004.5,Eisenia arborea,"Southern sea palm, juvenile",1998,1998-07-06,0,0,0,0,12,24,"Eisenia arborea, juvenile",Eisenia arborea juvenile,Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004.5,Eisenia arborea,"Southern sea palm, juvenile",1999,1999-06-28,1,0.04,0.14,0.04,12,24,"Eisenia arborea, juvenile",Eisenia arborea juvenile,Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004.5,Eisenia arborea,"Southern sea palm, juvenile",2000,2000-06-26,2,0.08,0.19,0.05,12,24,"Eisenia arborea, juvenile",Eisenia arborea juvenile,Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004.5,Eisenia arborea,"Southern sea palm, juvenile",2001,2001-07-16,0,0,0,0,12,24,"Eisenia arborea, juvenile",Eisenia arborea juvenile,Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004.5,Eisenia arborea,"Southern sea palm, juvenile",2002,2002-07-22,0,0,0,0,12,24,"Eisenia arborea, juvenile",Eisenia arborea juvenile,Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004.5,Eisenia arborea,"Southern sea palm, juvenile",2003,2003-09-09,0,0,0,0,12,24,"Eisenia arborea, juvenile",Eisenia arborea juvenile,Juvenile,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004.5,Eisenia arborea,"Southern sea palm, juvenile",2004,2004-07-26,0,0,0,0,12,24,"Eisenia arborea, juvenile",Eisenia arborea juvenile,Juvenile,NA
